,test,pred
303,7.116666666666667,7.113139698314509
533,10.373333333333333,10.763094857728785
80,7.77,7.760486811257689
606,8.424999999999999,8.28620956493057
10,25.131666666666664,25.51477334156277
560,22.305000000000003,26.53249890941947
662,24.61666666666667,24.382873975472418
163,5.41,5.746882758181865
204,19.491666666666667,19.339286580942026
922,10.768333333333333,10.497791926297506
1039,24.92166666666667,26.7308799146715
810,12.214999999999998,12.360282864423763
635,9.458333333333334,9.530826770564541
544,4.5116666666666685,4.4398096710085575
690,20.101666666666667,19.905322135064804
100,15.228333333333332,15.77256917309671
87,6.496666666666666,6.293400949677217
504,6.2316666666666665,6.752792763657109
180,8.763333333333334,8.85109138185032
352,15.756666666666668,15.653094830873552
525,13.61,13.481555905768229
807,9.903333333333334,9.789917085334988
254,16.098333333333336,16.620275739090626
663,18.755,19.01183729249021
501,28.69,28.261416717387075
307,11.56,11.821527398330769
305,10.945,10.587576586194128
585,22.28,22.43427002543842
570,6.381666666666668,6.580886631312634
612,5.22,5.265257148425572
315,3.2133333333333334,3.300701256818794
962,10.665,9.970635612307657
333,16.768333333333334,16.07398206670643
552,9.186666666666667,9.477282005485446
82,12.046666666666667,11.772956536405783
205,7.583333333333332,7.500878858683446
451,10.95,11.03080039482256
863,12.243333333333332,12.313336251884035
727,28.32833333333333,27.519973897796827
516,23.48833333333333,23.946332259745073
41,20.475,22.151597625531164
31,8.811666666666667,8.348845462160735
809,25.04833333333333,26.25408270885941
141,8.065,8.05763027129046
57,10.961666666666668,10.816021956775895
283,24.35,24.27668770747061
360,7.239999999999998,7.281795815327424
554,29.08833333333333,29.623766691640068
301,9.69,9.69834075336723
308,10.078333333333333,10.012916587902392
3,9.291666666666666,9.380820263056645
833,4.3966666666666665,4.3245157395923535
972,11.003333333333336,11.074213642948731
545,10.308333333333334,10.230216538305736
834,6.723333333333333,6.861115503113748
1063,19.518333333333327,19.428847349885697
883,16.586666666666666,16.79312919364622
747,11.263333333333335,11.459953507775705
61,6.433333333333334,6.466283720253269
67,15.036666666666667,14.863241336507595
221,13.463333333333333,14.028863353618927
1109,24.315,24.66177737007308
104,9.291666666666666,9.29609120255611
1056,17.39666666666667,50.28727420694372
331,12.375,12.258683099137667
467,5.181666666666667,5.172211152647716
966,10.891666666666666,11.154706077414627
174,3.6233333333333335,3.7143502103276624
915,15.551666666666668,15.18651460148396
251,4.136666666666667,4.099393664429041
198,20.481666666666666,23.376131606014834
354,13.75,13.42909161670843
997,10.373333333333333,10.50011675066889
70,7.6016666666666675,7.37218831111397
285,13.403333333333334,12.578949561815076
71,8.975000000000003,9.149140371660334
184,8.956666666666663,8.970828096061606
12,10.43,10.168310876726647
979,11.653333333333334,11.646383578454444
1057,5.498333333333332,5.502009990432494
1153,17.691666666666666,17.570354709531554
1073,9.658333333333333,9.447253840447612
626,14.161666666666667,14.36220887287379
890,16.301666666666666,15.36609689222757
317,22.131666666666664,22.925256339178983
619,16.41,16.434408104033874
1104,14.071666666666665,13.726658787176117
983,8.978333333333332,8.8378205610536
575,21.335000000000004,22.614782860692795
767,14.293333333333333,14.136818518440915
1028,13.916666666666664,13.884135621148058
711,12.491666666666667,12.389310308205832
928,8.108333333333334,8.181719538245712
272,9.31,9.500278592414016
2,7.816666666666666,7.6547451435905
500,5.325,6.26364705171056
576,7.046666666666666,7.172694890563545
1100,14.631666666666666,14.265265563988915
853,9.593333333333334,9.455177155561952
1070,20.24,20.300542517776645
316,8.540000000000001,8.461950343542295
574,14.813333333333333,14.37107856596094
879,17.816666666666666,17.325461833441178
238,8.921666666666667,9.546815426225063
384,16.088333333333335,16.111115380040697
691,12.186666666666667,11.621187716585833
520,10.988333333333333,12.386135338776622
644,22.72666666666667,24.45150577081756
356,10.706666666666663,10.88171948797071
1064,15.35,14.665022269680772
950,10.665,10.381659117911337
341,19.335,19.329704061714207
889,9.366666666666667,9.876799529712908
267,10.245,10.245532343268106
613,19.701666666666668,19.136031561692217
696,12.086666666666664,12.492022692349675
